freq,sectperf,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,BES,PPS_HAB_KP05,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103.057 	: 	171.15 	178.133 	267.363 	385.439 e	455.346 	436.989 e	384.788 	: 	426.415 	487.901 	469.718 	455.528 	403.858 	383.567 be	391.695 be	: 	303.006 b	380.98 	479.354 	476.248 	480.928 	470.307 	584.164 	558.936 	685.124 	690.209 	699.599 
A,BES,PPS_HAB_KP05,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	108.066 	111.202 	110.113 	110.636 	111.996 	120.779 	125.032 	128.146 	122.433 	123.743 	129.598 	131.953 	147.733 	153.937 	151.146 	154.552 	154.79 	155.755 	158.742 	168.961 	175.165 	189.555 b	198.584 	211.419 	218.272 	200.937 	202.044 	203.605 	191.957 p
A,BES,PPS_HAB_KP05,JP	185.746 	206.434 	224.611 	249.595 	274.563 	312.41 	314.683 	332.69 	367.089 	408.026 	447.59 	456.812 	439.603 	413.243 	408.843 	429.793 	461.66 b	485.144 	490.547 	488.14 	504.035 	536.624 	549.901 	567.254 	579.878 	630.596 	666.41 	697.285 	695.865 	614.745 	629.654 	656.613 	658.741 	692.026 	729.018 	720.714 	695.601 	: 	: 	: 	: 	: 	: 	: 
A,BES,PPS_HAB_KP05,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	200.297 d	217.727 d	230.218 d	196.906 d	211.236 d	249.677 d	286.105 d	291.79 d	313.95 d	356.173 d	383.712 d	435.004 d	477.453 	501.414 	521.908 	586.283 	666.639 	742.92 	789.901 	835.795 	834.224 	871.882 	: 	: 	: 	: 	: 	: 	: 
A,BES,PPS_HAB_KP05,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.114 	2.029 	0.784 	1.663 	9.799 	16.222 	9.972 	13.972 	17.277 	17.948 	28.593 	33.125 	28.184 	26.124 	30.702 	34.348 	36.916 	38.94 	53.69 	49.619 	53.3 	63.129 	78.822 	91.204 	112.952 	123.065 	122.771 	100.874 p
A,BES,PPS_HAB_KP05,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	759.588 	: 	: 	791.481 	783.43 	765.403 	840.37 	829.219 	745.461 	707.513 	564.735 	557.165 	392.413 b	384.035 	381.069 	392.078 	427.956 	415.994 	372.972 	387.319 	320.536 	326.741 	318.055 	285.922 p
A,BES,PPS_HAB_KP05,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.271 	5.751 	5.134 	5.044 	3.964 	12.224 	10.971 	13.827 	11.324 	17.811 	24.341 	42.622 	26.124 	20.38 	19.181 	25.701 	24.296 	20.037 	23.835 	34.776 	22.71 	16.35 	22.323 	26.784 	28.662 	42.462 	49.706 	52.131 	54.078 
A,BES,PPS_HAB_KP05,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.66 	9.101 	8.423 	10.292 	9.802 	8.771 	: 	10.975 	: 
A,BES,PPS_HAB_KP05,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.8 	13.143 	57.816 b	64.301 	71.4 	70.461 	69.53 	63.352 	74.639 	89.556 	99.404 	86.055 	90.736 	93.267 	88.245 	100.164 	103.851 	103.003 	106.83 	122.123 	117.172 	116.093 
A,BES,PPS_HAB_KP05,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	235.2 	247.073 b	266.159 	259.728 	291.804 	293.556 	294.985 	271.78 	279.455 	290.323 	289.345 	298.522 	292.902 	273.136 	251.955 	264.98 	348.948 b	350.556 b	454.032 b	458.175 	455.621 	474.332 	495.403 	495.267 	514.748 	519.004 	533.168 	566.17 b	541.486 e
A,BES,PPS_HAB_KP05,NO	: 	133.013 	145.537 	159.903 	190.707 b	226.728 	: 	262.885 	: 	242.144 	: 	238.908 	: 	257.851 	: 	292.84 b	: 	310.401 	: 	318.162 	: 	343.775 	347.738 	358.718 	324.251 	311.55 	310.606 	334.833 	333.785 	348.084 	329.169 	329.705 	333.48 	340.393 	364.703 	416.07 	435.684 	447.657 	429.019 	465.59 	491.465 	423.97 	367.474 	444.296 p
A,BES,PPS_HAB_KP05,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.959 b	20.807 	21.44 	24.19 	26.018 	22.613 	22.044 	11.445 	15.439 	17.421 	20.331 	20.986 	22.058 	24.98 	26.059 	27.609 	33.978 	50.431 	59.244 	70.672 	77.919 	109.166 	120.808 	152.412 	166.103 	170.536 	193.518 	217.73 	232.226 p
A,BES,PPS_HAB_KP05,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.549 b	18.896 e	20.791 	24.173 	27.352 	36.634 e	44.942 	43.371 e	42.216 	48.654 e	54.269 	83.691 e	111.349 	139.954 	140.013 	134.05 	129.108 	123.042 	112.503 	108.465 	106.938 	117.439 	130.675 	140.335 	151.958 	173.997 	198.869 	224.425 	229.718 p
A,BES,PPS_HAB_KP05,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33.371 b	29.312 	26.38 	21.064 	16.385 	14.426 	14.41 	14.755 	15.492 	16.028 	16.084 	18.87 	19.57 	17.016 	17.502 	16.249 	17.055 b	18.402 	12.298 	17.012 	23.882 	31.025 	36.002 	39.411 	38.354 	37.022 	40.896 	43.326 	49.088 p
A,BES,PPS_HAB_KP05,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.027 	7.129 	5.646 	18.743 	8.048 	18.756 b	22.952 	29.141 	30.419 	35.89 	36.756 	36.826 	50.858 	49.561 	50.033 
A,BES,PPS_HAB_KP05,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68.263 	58.581 	52.439 	52.693 	58.257 	61.178 	55.019 	61.988 	72.75 	85.44 	94.81 	103.022 	100.46 	98.027 	104.959 	114.649 	110.74 	121.413 	111.11 	111.877 	113.099 	: 	122.261 	122.189 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,PPS_HAB_KP05,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	410.662 e	: 	491.929 be	: 	544.57 e	: 	606.357 e	: 	765.207 e	: 	703.412 e	678.443 e	687.333 b	760.186 e	709.213 	762.013 e	677.76 	642.999 e	665.203 	653.448 e	673.061 	632.73 e	704.791 	716.077 e	767.694 	757.779 	789.046 	796.35 	819.891 	853.329 	874.814 p
A,BES,PPS_HAB_KP05,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	93.395 	89.006 	96.769 	102.801 	117.542 	126.413 	144.287 	151.334 	144.197 	173.012 	163.152 	190.928 	187.675 	238.863 b	245.068 	291.429 	374.829 b	395.507 	397.353 	379.529 	355.226 	332.462 	320.124 	345.745 	370.424 	367.101 	392.388 	379.595 	383.632 p
A,BES,PPS_HAB_KP05,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44.323 	48.069 	81.35 b	53.512 	42.724 	44.875 	46.468 	41.788 	37.703 	31.509 	33.505 	30.228 	28.977 	34.14 	31.607 	44.259 	43.264 	59.192 	68.681 	59.972 	63.068 	78.764 	97.605 	95.631 	97.797 	101.603 	112.694 	125.871 	132.768 
A,BES,PPS_HAB_KP05,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.981 	12.951 	12.234 	13.491 	11.742 	9.079 	10.956 	18.72 	21.222 	30.447 	32.558 	32.341 	36.303 	40.346 	45.316 	50.284 	57.542 	67.358 	79.971 	89.783 	104.673 	114.243 	118.319 	147.851 	145.633 	: 
A,BES,PPS_HAB_KP05,UK	: 	203.328 	: 	197.84 	: 	219.057 	243.324 b	244.903 	251.676 	257.058 	258.361 	236.72 	229.225 b	237.697 	237.332 	218.931 	213.882 	219.437 	229.698 	253.021 	252.156 	258.58 b	262.564 	259.614 	251.784 	255.919 	265.626 	280.504 	274.502 	263.498 	264.695 	278.691 b	267.399 	281.498 	296.94 	306.659 	316.885 	328.945 	338.023 	348 p	: 	: 	: 	: 
A,BES,PPS_HAB_KP05,US	331.719 d	340.341 bd	359.837 d	382.156 d	419.715 d	454.492 d	460.539 d	466.985 d	470.573 d	472.188 d	484.281 d	493.796 d	485.065 d	462.381 d	454.88 d	487.005 d	518.395 d	549.733 d	577.978 d	613.276 d	651.33 d	636.99 d	596.342 d	599.795 d	600.334 d	625.66 d	658.453 d	690.666 d	724.413 d	692.323 d	670.023 d	686.601 d	687.536 d	716.489 d	738.854 d	782.449 b	817.092 b	: 	: 	: 	: 	: 	: 	: 
A,GOV,EUR_HAB,AT	: 	8.319 	: 	: 	: 	12.195 	: 	: 	: 	15.481 	: 	: 	: 	26.213 b	: 	: 	: 	: 	27.281 	: 	: 	: 	33.041 	: 	33.138 	38.276 e	40.007 	44.344 	48.533 e	47.882 	50.579 e	50.772 	50.564 e	50.271 	54.954 e	56.042 	90.757 e	91.943 	96.467 e	103.095 	103.455 e	111.636 	119.551 e	129.028 p
A,GOV,EUR_HAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.32 	0.666 	1.798 	: 	: 	: 	: 	0.4 	0.46 	0.484 	: 	: 
A,GOV,EUR_HAB,BE	: 	: 	: 	8.283 b	8.585 	9.833 	9.86 	9.1 	9.709 	14.413 b	: 	16.281 e	: 	15.63 b	16.398 	17.227 	20.799 	21.719 	25.147 b	28.019 	30.485 	32.24 	36.145 	34.227 	40.263 	44.443 	45.28 	48.494 	57.054 	59.32 	58.202 	59.869 	67.451 b	69.599 	76.851 	82.705 	92.457 	98.149 	105.871 	116.047 	119.646 	127.63 	139.929 e	155.965 p
A,GOV,EUR_HAB,BG	: 	: 	: 	: 	: 	: 	: 	38.348 	31.353 	44.207 	9.201 	2.618 	3.09 	5.397 	3.548 	3.11 	1.61 b	3.884 	5.912 	6.117 b	5.99 	5.854 	7.371 	7.973 	8.593 	9.246 	10.181 	10.778 	12.924 	13.658 	10.825 	10.681 	10.395 	10.99 	11.803 	12.806 	11.474 	13.158 	13.835 	19.136 	20.518 	22.799 	25.391 	33.45 p
A,GOV,EUR_HAB,CH	: 	18.043 	: 	19.716 b	: 	: 	38.795 	: 	27.404 b	30.21 e	25.679 	28.304 e	27.334 	: 	23.898 	: 	22.577 d	: 	17.375 	: 	12.543 bd	: 	13.153 d	: 	12.314 d	: 	10.228 d	: 	9.955 d	: 	11.631 d	: 	14.529 	: 	19.28 	22.043 	: 	19.708 	: 	22.518 	: 	24.64 	27.307 	: 
A,GOV,EUR_HAB,CN_X_HK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.92 	3.277 	3.673 	3.447 	3.373 	4.005 	4.497 	5.184 	6.218 	8.536 b	10.639 	11.69 	15.21 	17.146 	18.255 	23.74 	24.037 	25.09 	27.214 	31.401 	34.504 	39.643 	44.948 	: 
A,GOV,EUR_HAB,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.882 	13.267 	: 	: 	: 	: 	: 	15.466 	15.508 	16.528 	17.908 	19.525 	21.839 	23.371 	23.961 	24.013 	22.422 	21.652 	21.259 	20.62 	17.542 	15.888 	14.226 	14.395 	13.075 	12.341 	12.884 	12.895 	13.927 	12.807 	13.343 	13.251 	13.034 p
A,GOV,EUR_HAB,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.239 d	10.495 d	10.315 b	14.236 	14.005 	15.831 	15.115 	18.331 	19.262 	21.598 	23.182 	24.2 	28.597 	33.094 	40.986 	45.357 	44.637 	45.44 	50.303 	52.552 	54.447 	55.776 	62.93 	50.995 	55.951 	61.74 	66.466 	68.703 	75.463 	82.615 	83.722 p
A,GOV,EUR_HAB,DE	: 	32.926 	36.139 e	40.533 	42.98 e	47.026 	53.054 e	57.546 	60.197 e	64.678 	66.668 e	65.256 b	66.328 b	73.277 	74.12 	80.211 	78.932 	76.148 	79.245 	80.836 	83.649 	86.87 d	88.954 d	88.535 d	91.049 d	95.355 d	98.936 d	103.75 d	113.678 d	121.115 d	126.57 d	136.799 d	141.178 d	147.306 d	152.536 d	153.768 d	154.801 d	163.4 d	171.127 d	180.948 d	187.443 d	201.564 d	176.569 b	186.939 p
A,GOV,EUR_HAB,DK	: 	24.956 	27.632 	30.524 	33.305 	36.672 	42.265 	47.714 	51.416 	54.879 	59.039 	61.349 	65.637 	71.048 	: 	82.521 	82.769 e	84.53 	85.877 e	97.167 	92.25 	94.119 	63.576 b	63.182 	62.269 	60.724 	65.51 	34.892 b	31.879 	26.539 	28.296 	26.625 	32.282 	32.309 	31.561 	32.88 	33.96 	46.115 	45.047 	45.63 p	54.834 	55.143 p	57.058 	58.102 p
A,GOV,EUR_HAB,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56.761 e	59.177 e	61.018 e	61.556 e	64.129 e	67.404 e	69.225 e	71.449 e	75.659 e	79.324 e	78.091 e	80.312 e	81.982 e	81.32 e	82.863 e	84.497 e	85.252 e	87.952 e	91.846 e	96.18 e	97.135 e	103.696 e	101.326 e	108.802 e
A,GOV,EUR_HAB,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53.387 e	55.853 e	57.848 e	60.945 e	63.513 e	66.755 e	67.051 e	69.545 e	75.01 e	77.983 e	76.925 e	78.941 e	80.747 e	80.275 e	82.099 e	83.733 e	84.475 e	87.184 e	91.067 e	95.401 e	96.393 e	102.968 e	100.683 e	108.136 e
A,GOV,EUR_HAB,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.699 	4.111 	6.959 	8.291 	8.848 	6.319 	4.896 	6.478 	6.112 	4.938 	6.832 	7.664 	8.027 	8.64 	14.678 	11.198 	18.298 	16.235 	18.421 	23.387 	26.685 	22.056 	23.925 	24.877 	23.481 	27.211 	31.687 	35.031 	35.561 	38.61 	48.914 	43.832 
A,GOV,EUR_HAB,EL	: 	4.52 	: 	: 	: 	: 	6.674 	: 	7.828 	9.653 	: 	10.323 	: 	11.467 	: 	10.572 	: 	11.948 	: 	16.062 	: 	17.331 	: 	18.175 	18.519 e	21.322 	23.117 e	25.433 e	49.357 be	35.005 e	28.828 e	29.822 	29.938 	37.272 	37.769 	44.147 	40.693 	41.896 	45.441 	48.854 	50.122 	55.28 	61.307 	67.737 p
A,GOV,EUR_HAB,ES	: 	5.948 	6.778 	6.331 	6.766 	7.573 	9.293 	10.593 	12.513 	15.244 	18.007 	20.41 	20.875 	19.042 	18.091 	17.025 	18.329 	17.604 	19.023 	20.923 	22.357 	24.322 	26.997 	30.166 	33.551 	40.143 	44.781 	52.447 	58.514 	63.295 	63.041 	59.193 	54.608 	52.158 	51.805 	54.28 	52.845 	53.659 	53.918 	56.438 	58.181 	61.392 	70.118 	83.024 p
A,GOV,EUR_HAB,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46.218 e	48.298 e	50.093 e	50.469 e	52.488 e	55.837 e	57.668 e	59.704 e	63.717 e	65.778 e	65.633 e	67.561 e	69.143 e	68.419 e	69.573 e	71.465 e	69.597 e	72.331 e	75.523 e	79.472 e	80.6 e	86.449 e	85.112 e	91.425 e
A,GOV,EUR_HAB,FI	: 	25.493 b	: 	31.881 	39.338 	45.446 e	48.581 	54.743 	61.808 e	70.69 	76.438 de	82.262 b	73.21 e	64.606 	71.847 bd	73.87 	78.668 d	77.836 	81.535 	85.632 	90.48 	90.965 	96.344 	93.195 	95.273 	99.874 	102.463 	100.112 	104.149 	115.896 	120.457 	117.894 	114.022 	109.902 	103.297 	90.684 	88.094 	95.779 	97.041 	98.425 	95.687 	99.185 	105.077 	115.241 
A,GOV,EUR_HAB,FR	: 	41.85 	50.263 	56.665 	63.662 	67.547 	72.32 	75.788 	79.326 	83.82 	94.265 	90.849 	88.257 b	93.94 	93.088 	97.125 	95.757 	86.045 b	87.518 	89.049 	88.553 b	89.08 	92.936 	93.213 	97.285 	102.55 	98.904 	100.981 	102.556 	108.56 	94.23 b	96.17 	93.75 	94.286 	93.146 	95.543 	94.696 	93.885 	96.334 	97.876 	92.402 	96.04 	100.009 	103.342 p
A,GOV,EUR_HAB,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.974 	14.883 	16.76 	17.405 	18.286 	20.568 	24.916 	23.987 	21.44 	21.47 	21.317 d	21.318 d	20.999 d	21.994 d	20.677 d	23.174 d	24.916 d	28.282 d	31.766 d	38.917 	43.57 	48.349 p
A,GOV,EUR_HAB,HU	: 	: 	: 	: 	: 	: 	: 	6.432 d	5.675 d	7.267 d	4.81 d	4.432 d	4.371 d	8 d	8.175 bd	6.195 d	6.362 d	7.116 d	8.65 d	9.741 d	10.344 d	13.904 d	22.786 d	21.417 d	21.068 bd	23.225 d	22.672 d	23.452 d	24.664 d	21.338 d	20.825 d	19.011 d	18.285 d	21.3 d	19.931 d	20.454 d	18.813 d	21.57 d	22.964 bd	22.252 d	22.485 d	26.738 d	29.935 	31.145 
A,GOV,EUR_HAB,IE	: 	13.809 	16.015 	14.495 	15.861 	16.079 	15.777 	14.815 	14.791 	13.587 e	12.999 e	11.837 e	13.704 b	14.204 	16.101 	16.154 	17.591 	18.843 	18.975 	17.119 	25.307 	27.134 	32.131 	32.138 	34.352 	36.482 	35.645 	38.893 	37.934 	30.544 	28.004 	28.857 	28.763 	27.984 	28.095 	29.117 	28.246 	29.674 	32.663 	33.331 	32.977 	33.317 	34.722 	33.884 
A,GOV,EUR_HAB,IS	: 	52.837 	: 	45.431 	: 	56.852 	: 	75.8 	: 	97.903 	94.644 	109.982 	118.723 	108.059 	112.199 	115.245 	: 	132.45 	202.267 	206.115 	230.036 e	184.682 	239.381 e	235.358 	: 	291.424 	270.726 	232.247 	153.877 	169.166 	: 	146.421 be	: 	43.39 b	48.738 	48.704 	56.248 	56.438 	53.154 	46.357 	45.858 	46.462 	52.461 	46.575 
A,GOV,EUR_HAB,IT	: 	14.62 	16.203 	18.66 	23.308 	26.617 	27.061 	31.252 	33.344 	37.149 	41.271 	46.161 b	43.563 	35.989 	33.956 	31.171 	34.368 	36.943 	40.542 	38.88 	41.392 	43.772 	45.005 	45.151 	47.247 	46.537 	49.702 	45.193 	40.967 	42.487 	45.026 	44.265 	50.585 	48.731 	49.047 	48.272 	48.39 	48.922 	52.503 	55.281 	55.444 	61.265 	64.651 	69.535 p
A,GOV,EUR_HAB,JP	16.768 	22.861 	23.277 	27.365 	32.241 	37.094 	41.856 	46.314 	50.307 	50.949 	43.029 	50.678 	56.711 	78.634 	80.797 	90.093 	76.537 	75.663 	75.838 	96.482 	119.978 	107.263 	98.612 	87.349 	87.206 	79.058 	76.63 	66.841 	74.146 	87.341 	95.172 	94.153 	104.736 	92.629 	81.471 	80.671 	83.671 	85.23 	84.25 	91.109 	95.225 	92.821 	87.25 	: 
A,GOV,EUR_HAB,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.312 d	29.164 d	37.59 d	36.401 d	41.474 d	37.222 d	39.119 d	46.685 d	54.449 d	58.87 b	52.795 	56.485 	73.221 	76.027 	85.865 	88.27 	100.723 	120.827 	121.821 	128.549 	128.874 	131.688 	134.878 	142.432 	150.778 	: 
A,GOV,EUR_HAB,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.746 	7.594 	9.026 	8.46 	8.726 	10.351 	9.631 	8.516 	9.927 	11.688 	13.232 	14.918 	18.553 	16.428 	12.26 	18.131 	19.449 	22.16 	21.726 	22.735 	29.528 	37.003 	33.545 	35.224 	31.81 	34.945 	37.109 	41.136 p
A,GOV,EUR_HAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.963 	74.032 	85.576 	100.156 	108.141 	123.366 	141.808 	165.901 	204.63 	202.391 b	256.122 	288.738 	297.656 	326.705 	342.017 	350.648 	314.794 	291.027 	304.815 	286.206 	292.279 e	289.485 	319.486 	328.723 p
A,GOV,EUR_HAB,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.37 	3.311 	3.281 	3.147 	3.458 	3.484 	3.444 	3.396 	3.835 	3.989 	6.039 	7.608 	13.792 	17.79 	9.697 	11.778 	15.833 	19.427 	19.95 	19.486 	19.637 	17.827 	18.46 	21.919 	19.219 	20.549 	24.14 	27.359 	32.905 
A,GOV,EUR_HAB,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.088 d	: 	3.244 d	4.302 d	4.212 	4.354 	7.166 	10.097 	14.359 	: 	: 	: 	: 
A,GOV,EUR_HAB,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.721 	2.247 	1.947 	1.848 	1.799 	1.874 	: 	2.27 	: 
A,GOV,EUR_HAB,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.958 	2.008 	1.517 	3.193 	3.373 	1.432 	3.237 	3.658 	2.891 	4.473 	10.163 	13.353 	14.112 	26.897 	1.7 	1.321 	1.814 	1.543 	1.466 	2.926 	3.821 	3.439 
A,GOV,EUR_HAB,NL	: 	34.999 	37.706 	39.69 	41.82 	44.14 	47.099 	50.917 	50.849 	51.484 	55.034 	58.578 	59.769 	63.593 	70.278 b	74.01 	74.805 	74.675 	77.158 	72.207 d	61.397 b	73.747 d	68.673 	75.096 bd	77.07 d	74.576 d	77.139 d	76.965 d	76.743 d	80.494 d	77.164 d	79.215 d	88.56 bd	50.538 bd	52.825 d	53.252 d	54.361 d	53.098 d	56.516 d	58.673 d	59.629 d	61.824 d	58.8 bd	59.446 de
A,GOV,EUR_HAB,NO	: 	28.461 	34.357 	37.033 	43.147 	43.232 	: 	49.653 	: 	69.703 b	: 	69.464 	: 	76.613 	: 	76.251 	: 	84.875 	: 	84.721 	: 	98.495 	118.342 	113.12 	112.237 	125.24 	137.383 	152.637 b	153.862 	163.836 	180.497 	194.845 	211.678 	205.702 	192.306 	195.867 	185.077 	192.921 	198.388 	186.343 	167.984 	196.245 	193.674 	179.007 
A,GOV,EUR_HAB,PL	: 	: 	: 	: 	: 	: 	: 	3.262 	2.975 	2.468 	2.104 	2.519 	2.001 	5.801 	5.804 	6.096 b	6.503 	7.481 	8.154 	8.645 	10.084 	10.814 	13.935 	11.024 	11.633 	13.198 	14.68 	16.391 	20.342 	18.856 	24.616 	25.732 	25.193 	24.221 	24.345 	27.706 	2.722 	2.909 	3.081 	2.354 	3.79 	4.551 	4.996 	5.763 p
A,GOV,EUR_HAB,PT	: 	: 	3.7 	3.832 e	4.044 	4.528 e	4.847 	5.223 e	5.804 	6.661 e	7.313 	8.712 e	10.233 	10.615 e	11.341 e	12.697 	13.461 e	13.985 	18.018 e	22.35 	21.622 e	20.862 	18.642 e	16.472 	16.595 e	16.728 	17.125 e	17.515 	17.844 	19.174 	18.564 	17.907 	11.765 	14.009 	13.389 	13.937 	12.107 	13.702 	14.226 	14.861 	15.434 	16.341 	16.893 	19.339 p
A,GOV,EUR_HAB,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.6 	1.209 	1.9 b	2.002 	1.262 	1.525 	1.109 	1.246 	2.132 	2.034 	3.013 	3.732 	5.224 	6.758 	10.488 	16.065 	9.493 	10.381 	13.25 b	13.115 	13.715 	12.385 	15.059 	13.777 	15.564 	16.069 	17.477 	16.952 	17.856 	19.119 	23.295 p
A,GOV,EUR_HAB,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.172 	11.104 	11.277 	11.451 	11.569 	8.777 b	11.141 	11.36 	13.144 	15.859 	15.105 	17.942 	20.511 	22.55 	26.232 
A,GOV,EUR_HAB,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.105 	4.906 	6.686 	7.633 	8.533 	9.594 	11.916 	16.008 	21.682 	25.11 	23.474 	28.35 	31.184 	39.44 	: 	35.292 	29.056 	: 	32.727 	33.283 	30.837 	: 	: 	: 	: 
A,GOV,EUR_HAB,SE	: 	17.319 d	: 	16.196 d	: 	20.219 d	: 	21.055 d	: 	23.329 d	: 	26.396 d	: 	25.238 bd	: 	26.388 d	: 	31.004 d	: 	32.66 d	: 	33.463 d	: 	41.457 d	36.168 d	57.445 b	58.043 e	62.943 	59.55 e	50.461 	61.907 e	60.209 	70.354 e	55.508 e	52.875 e	51.408 	52.327 e	58.492 	55.858 	71.256 b	71.378 	78.22 	77.106 	75.754 p
A,GOV,EUR_HAB,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.996 	31.493 	30.802 	28.685 	32.418 	39.586 	40.952 	38.749 	41.674 	41.686 	36.31 	37.696 	50.013 	59.18 	60.929 	67.267 	67.09 	66.401 	62.351 b	59.102 	59.093 	52.54 	55.853 	52.869 	53.575 	58.509 	65.663 	66.126 	71.228 	89.375 	105.522 p
A,GOV,EUR_HAB,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.562 	9.321 b	10.386 	11.042 	6.683 b	7.154 	6.421 	6.531 	6.578 d	7.324 d	9.946 d	9.879 d	10.729 d	13.205 d	16.588 d	18.607 d	19.081 d	23.143 d	24.029 d	26.556 d	23.125 d	35.039 d	47.653 	25.32 	28.669 	29.282 	28.427 	30.307 	31.11 	33.955 	42.007 
A,GOV,EUR_HAB,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.688 	0.888 	0.855 	1.147 	0.567 	0.592 	1.233 	1.37 	1.003 	1.109 	1.286 	1.333 	1.369 	2.038 	1.93 	3.885 	4.125 	5.16 	6.121 	6.571 	7.322 	7.331 	8.312 	8.056 	7.653 	9.064 	8.883 	8.691 	7.717 	5.839 	5.549 	5.215 	6.487 	: 
